"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252686,0,0,"CNN3","1266","1266"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.072417201475762,44.2153974843389,0,0,"TENT5C","54855","54855"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106386,-40.201602675119,0,0,"CSRP1","1465","1465"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112118,-38.2511822462087,0,0,"CRIM1","51232","51232"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758761,-43.7365579185571,0,0,"EPAS1","2034","2034"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533342,-37.550372031662,0,0,"FLNB","2317","2317"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655217,48.4207795565318,0,0,"F2RL1","2150","2150"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812966,38.7674871448913,0,0,"SOX4","6659","6659"
"ENSG00000124762",28106.1191885778,1.83225777686375,0.0388966414279916,47.1058093860304,0,0,"CDKN1A","1026","1026"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609003,-43.9933323216763,0,0,"SERPINE1","5054","5054"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287922033,41.0015774395499,0,0,"COL4A5","1287","1287"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595227,40.9741732137153,0,0,"PLAU","5328","5328"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652739,-42.1726838115283,0,0,"MKI67","4288","4288"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135801,38.2834110933159,0,0,"SLC2A3","6515","6515"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461241,-38.3261828997426,0,0,"TUBA1B","10376","10376"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178546,44.0060249686214,0,0,"PHLDA1","22822","22822"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406005,44.7421102013941,0,0,"ABCC4","10257","10257"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931716,38.5901202167616,0,0,"DIO2","1734","1734"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075128,44.5945224172368,0,0,"DLL4","54567","54567"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678346,-41.3963130507093,0,0,"SEMA7A","8482","8482"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544569,-42.000873034209,0,0,"TOP2A","7153","7153"
"ENSG00000167601",8245.06804500101,-2.14234576630772,0.0404435485638548,-52.9712609892588,0,0,"AXL","558","558"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001114,37.7738135764795,0,0,"SLC5A3","6526","6526"
"ENSG00000074800",18390.4756149844,-1.33893117834409,0.0358590275895697,-37.3387475441063,3.86082290619344e-305,2.37086699964495e-302,"ENO1","2023","2023"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294298,37.2705374042557,4.9267324572751e-304,2.90440731821282e-301,"F2R","2149","2149"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075116,36.9471519149014,8.09231108103535e-299,4.5870954120115e-296,"RND3","390","390"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246595,36.8352639561666,5.03520683613264e-297,2.74847697596011e-294,"PLAT","5327","5327"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.069361389322573,36.6909753183987,1.01726618391336e-294,5.35445322089825e-292,"DGKI","9162","9162"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.058906348089818,-36.466132722591,3.81873143499156e-291,1.94070565134157e-288,"MGLL","11343","11343"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406067,36.4540313413098,5.93856217975854e-291,2.91741764684271e-288,"BMF","90427","90427"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307446,-36.2808238848628,3.24649821970229e-288,1.54344808909588e-285,"GPR176","11245","11245"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941872,36.2707029432348,4.6879735316929e-288,2.15910480969031e-285,"PGM2L1","283209","283209"
"ENSG00000091527",2814.15907315816,-1.81023338577256,0.0499749029758647,-36.2228494299791,2.65984835140679e-287,1.18790439403131e-284,"CDV3","55573","55573"
"ENSG00000033867",3157.52042924196,1.93501315031031,0.0535351847027378,36.1446992488167,4.50689778432784e-286,1.95360763368893e-283,"SLC4A7","9497","9497"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.078171511472937,-36.1399178936208,5.35778353356258e-286,2.21230320948385e-283,"CENPF","1063","1063"
